match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,ServeWidth,ServeDepth,ReturnDepth,ace_diff,double_diff,unf_diff,net_diff,break_won_diff,break_missed_diff,ace_diff_cumsum,double_diff_cumsum,unf_diff_cumsum,net_diff_cumsum,break_won_diff_cumsum,break_missed_diff_cumsum,swing
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0335416666666667,2,1,75,0,1,0,0,40,0,1,1,1,40,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.279,4.516,1,100,B,NCTL,ND,0,0,0,0,0,0,1,0,-1,0,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0365972222222222,2,2,83,0,1,1,0,40,AD,2,1,2,43,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.617,13.064,3,90,B,NCTL,D,0,0,0,0,0,0,-1,0,-3,0,0,3,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0389351851851852,2,3,91,0,1,1,1,AD,40,1,1,1,48,43,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.114,20.927,5,108,C,NCTL,ND,0,0,0,0,0,0,-1,1,-3,1,0,3,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0419560185185185,2,4,97,0,1,2,1,30,40,2,1,2,50,47,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.836,7.663,3,107,C,CTL,ND,0,0,0,0,0,0,-1,0,-4,1,0,3,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.045150462962963,2,5,107,0,1,2,2,AD,40,1,1,1,56,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.576,31.504,7,105,W,NCTL,D,0,0,0,0,0,0,0,1,-4,1,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.047962962962963,2,6,112,0,1,3,2,15,40,2,1,2,57,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.033,8.078,1,115,C,NCTL,ND,0,0,0,0,0,0,-1,1,-4,0,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0496527777777778,2,7,118,0,1,3,3,40,30,1,2,1,61,57,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.961,19.227,5,73,B,NCTL,ND,0,0,0,0,0,0,0,1,-5,0,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0525,2,8,123,0,1,4,3,15,40,2,1,2,62,61,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.762,1.076,1,106,W,CTL,,-1,0,0,0,0,0,-1,1,-5,0,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0540277777777778,2,9,129,0,1,4,4,40,30,1,1,1,66,63,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.364,1.116,1,104,W,CTL,,1,0,0,0,0,0,0,1,-4,0,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0571296296296296,2,10,134,0,1,5,4,40,15,2,2,1,70,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19.004,13.618,2,94,BC,NCTL,ND,0,0,0,0,1,0,0,1,-4,0,1,0,0.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0605208333333333,3,1,142,1,1,0,0,AD,40,1,2,1,75,67,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.216,11.876,5,80,B,NCTL,ND,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.062650462962963,3,2,146,1,1,1,0,40,0,2,1,1,79,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9.296,6.747,2,114,BW,NCTL,ND,0,0,0,0,1,0,0,0,-1,0,1,0,0.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0656712962962963,3,3,154,1,1,2,0,AD,40,1,2,1,84,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.658,4.728,1,89,C,NCTL,D,0,0,0,0,0,0,0,0,-2,0,1,0,0.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0700462962962963,3,4,162,1,1,3,0,40,AD,2,2,2,87,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.283,30.035,11,93,BW,NCTL,ND,0,0,0,0,0,0,0,-1,-2,-1,1,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.073599537037037,3,5,170,1,1,3,1,AD,40,1,1,1,92,78,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,1.47,1,108,C,CTL,,1,0,0,0,0,0,2,-1,0,-1,1,-2,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0769791666666667,3,6,176,1,1,4,1,40,30,2,2,1,96,80,1,0,0,0,1,0,B,0,0,0,0,0,0,0,0,1,0,1,0,0,0,33.829,23.48,8,94,BW,NCTL,ND,0,0,0,0,1,0,2,-1,-1,-2,2,-1,0.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0788888888888889,3,7,182,1,1,5,1,40,30,1,2,1,100,82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.528,22.326,5,77,B,NCTL,ND,0,0,0,0,0,0,2,0,1,-1,2,-1,0.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0039930555555555,1,1,12,0,0,0,0,40,AD,1,1,2,5,7,2,0,0,0,0,1,B,0,0,0,0,0,0,0,0,0,1,0,1,0,0,18.512,14.644,4,101,BW,NCTL,D,0,0,0,0,-1,0,0,1,3,-1,-1,-3,1.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0067129629629629,1,2,18,0,0,0,1,30,40,2,1,2,7,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.876,4.805,1,118,W,NCTL,D,0,0,0,0,0,0,0,1,4,-1,-1,-3,0.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0085648148148148,1,3,24,0,0,0,2,40,30,1,1,1,11,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.804,7.148,1,98,BW,NCTL,D,0,0,-1,0,0,0,1,2,5,-1,-1,-3,1.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.01125,1,4,29,0,0,1,2,15,40,2,2,2,12,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.347,13.597,5,95,B,NCTL,ND,0,0,0,0,0,0,1,2,5,0,-1,-3,1.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0135069444444444,1,5,35,0,0,1,3,30,40,1,2,2,14,21,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,14.465,12.94,2,79,W,CTL,ND,0,0,1,0,-1,0,1,2,6,-1,-2,-4,0.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0169560185185185,1,6,41,0,0,1,4,30,40,2,1,2,16,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84,15.714,3,109,BC,CTL,ND,0,0,0,0,0,0,0,1,5,-1,-2,-4,0.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0207523148148148,1,7,46,0,0,1,5,40,15,1,1,1,20,26,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828,0.732,1,108,C,NCTL,,1,0,0,0,0,0,1,1,5,-1,-2,-4,1.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.026400462962963,1,8,58,0,0,2,5,40,AD,2,1,2,25,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.795,3.546,1,110,C,CTL,ND,0,0,0,0,0,0,1,1,5,-1,-2,-3,1.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0295717592592593,2,1,64,0,1,0,0,40,30,1,1,1,29,35,1,0,0,0,1,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.786,11.909,3,97,W,CTL,ND,0,0,0,0,0,0,0,0,1,1,0,0,1.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.032037037037037,2,2,69,0,1,1,0,15,40,2,1,2,30,39,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.143,15.605,5,110,BW,NCTL,D,0,0,1,0,0,0,0,0,3,1,0,0,1.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0366203703703704,2,3,81,0,1,1,1,AD,40,1,1,1,37,44,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,13.043,23.738,3,102,BC,NCTL,ND,0,0,-1,0,0,0,1,0,1,2,0,0,1.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0395833333333333,2,4,86,0,1,2,1,15,40,2,2,2,38,48,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.143,13.129,1,94,B,NCTL,D,0,0,1,0,0,0,1,-1,2,2,0,0,1.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0427199074074074,2,5,94,0,1,2,2,AD,40,1,1,1,43,51,1,0,0,0,1,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.043,9.903,3,107,BW,NCTL,ND,0,0,0,0,0,0,2,-1,2,3,0,0,1.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0495138888888889,2,6,106,0,1,3,2,AD,40,2,2,1,50,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,17.71,19.881,2,95,B,NCTL,D,0,0,-1,0,1,0,2,-1,0,3,1,2,0.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0523958333333333,2,7,114,0,1,4,2,40,AD,1,1,2,53,61,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,19.916,17.259,6,97,BC,NCTL,ND,0,0,1,0,-1,0,2,-1,2,4,0,2,1.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0546064814814815,2,8,118,0,1,4,3,0,40,2,1,2,53,65,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904,0.856,1,108,C,NCTL,,-1,0,0,0,0,0,1,-1,3,4,0,2,0.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0565972222222222,2,9,123,0,1,4,4,15,40,1,1,2,54,69,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,20.213,17.5,4,113,C,NCTL,ND,0,0,0,0,-1,0,2,-1,3,4,-1,1,0.0
2023-wimbledon-2504,Madison Keys,Aryna Sabalenka,0.0605439814814815,2,10,131,0,1,4,5,40,AD,2,1,2,57,74,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.144,3.946,1,108,W,CTL,D,0,0,0,0,0,0,2,-1,3,4,-1,1,0.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0015393518518518,1,1,5,0,0,0,0,40,15,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.532,3.263,1,95,W,CTL,ND,0,0,0,0,0,0,0,0,-1,0,0,0,1.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0034375,1,2,10,0,0,1,0,15,40,2,1,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.382,23.153,7,113,C,NCTL,ND,0,0,0,0,0,0,-1,0,-1,0,0,0,1.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0058680555555555,1,3,15,0,0,1,1,40,15,1,1,1,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.332,13.747,3,96,BW,NCTL,D,0,0,0,0,0,0,-1,0,-2,1,0,0,1.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.008287037037037,1,4,21,0,0,2,1,30,40,2,1,2,11,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.669,4.016,1,108,C,CTL,ND,0,0,0,0,0,0,-1,0,-3,0,0,0,1.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0099074074074074,1,5,25,0,0,2,2,0,40,1,1,2,11,14,2,0,0,0,0,1,F,0,0,0,0,1,0,0,0,0,1,0,1,0,0,12.829,14.678,4,99,C,CTL,ND,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0134027777777778,1,6,33,0,0,2,3,AD,40,2,1,1,16,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10.067,6.786,2,103,C,NCTL,ND,0,0,-1,0,1,0,-2,-2,-6,0,0,1,1.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0155671296296296,1,7,38,0,0,3,3,15,40,1,2,2,17,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.751,7.169,2,82,B,NCTL,ND,0,0,0,0,-1,0,-2,-2,-3,0,-1,0,1.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.017337962962963,1,8,42,0,0,3,4,0,40,2,2,2,17,25,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.29,10.521,3,83,BW,NCTL,D,0,0,1,0,0,0,-2,-2,-1,0,-1,0,0.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0205902777777778,1,9,50,0,0,3,5,40,AD,1,1,2,20,30,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,8.151,9.283,2,101,C,CTL,ND,0,0,1,0,-1,0,-2,-2,0,0,-2,0,0.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0230555555555556,2,1,55,0,1,0,0,15,40,2,2,2,21,34,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.508,17.382,3,93,C,NCTL,D,0,0,1,0,0,0,0,0,1,0,0,0,0.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0266319444444444,2,2,63,0,1,0,1,40,AD,1,1,2,24,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14.725,14.884,4,100,C,NCTL,ND,0,0,0,0,-1,0,0,0,3,2,-1,-1,0.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0278703703703704,2,3,67,0,1,0,2,0,40,2,2,2,24,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,4.183,1,100,C,CTL,D,0,0,0,0,0,0,0,0,3,2,-1,-1,0.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0355208333333333,2,4,83,0,1,0,3,40,AD,1,2,2,31,52,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,18.845,22.914,6,77,B,NCTL,ND,0,0,1,0,-1,0,0,0,2,2,-2,-4,0.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0413425925925926,2,5,97,0,1,0,4,AD,40,2,1,1,39,58,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,20.929,15.396,4,106,BC,CTL,ND,0,0,-1,0,1,0,-1,-2,-1,2,-1,-3,1.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0436574074074074,2,6,101,0,1,1,4,40,0,1,1,1,43,58,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.042,11.139,3,104,BW,NCTL,ND,0,0,0,0,0,0,-1,-2,-1,3,-1,-3,0.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0474537037037037,2,7,111,0,1,2,4,AD,40,2,1,1,49,62,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11.047,5.861,2,97,W,NCTL,ND,0,0,-1,0,1,0,-1,-3,-3,3,0,-2,0.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0499884259259259,2,8,116,0,1,3,4,15,40,1,1,2,50,66,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,14.74,19.017,4,102,C,NCTL,D,0,0,1,0,-1,0,-1,-2,0,3,-1,-2,1.0
2023-wimbledon-2601,Elina Svitolina,Marketa Vondrousova,0.0521296296296296,2,9,122,0,1,3,5,30,40,2,1,2,52,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.088,5.266,1,112,BC,CTL,D,0,0,0,0,0,0,-2,-3,-1,3,-1,-2,0.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0007986111111111,1,1,4,0,0,0,0,0,40,2,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.531,4.061,1,85,BW,NCTL,D,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0036111111111111,1,2,12,0,0,0,1,AD,40,1,1,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.394,3.328,1,102,W,CTL,ND,0,0,0,0,0,0,0,0,-1,0,0,-1,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0081597222222222,1,3,24,0,0,1,1,40,AD,2,2,2,10,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.194,3.817,1,105,C,NCTL,ND,0,0,0,0,0,0,0,0,-4,0,0,0,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0110416666666667,1,4,30,0,0,1,2,40,30,1,1,1,14,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.942,5.524,1,97,W,CTL,ND,0,0,0,0,0,0,0,1,-4,0,0,0,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0174305555555556,1,5,44,0,0,2,2,40,AD,2,2,2,20,24,2,0,0,0,0,1,B,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.626,11.75,3,86,W,CTL,ND,0,0,0,-1,0,0,-1,1,-8,-2,0,2,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0202777777777778,1,6,50,0,0,2,3,40,30,1,1,1,24,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.973,12.994,3,104,C,NCTL,ND,0,0,0,0,0,0,-1,1,-7,-1,0,2,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0219212962962963,1,7,54,0,0,3,3,0,40,2,1,2,24,30,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.968,8.102,3,117,BC,NCTL,ND,0,0,0,0,0,0,-1,1,-7,-1,0,2,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0244791666666667,1,8,60,0,0,3,4,40,30,1,1,1,28,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.628,4.427,1,107,BC,NCTL,D,0,0,0,0,0,0,-1,1,-8,-2,0,2,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0283449074074074,1,9,70,0,0,4,4,40,AD,2,1,2,32,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.08,8.624,3,105,C,NCTL,D,0,0,0,0,0,0,-4,-1,-12,-3,0,2,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0302314814814815,1,10,74,0,0,4,5,40,0,1,1,1,36,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.184,13.266,3,96,W,CTL,D,0,0,-1,0,0,0,-4,-1,-14,-3,0,2,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.032337962962963,1,11,79,0,0,5,5,15,40,2,2,2,37,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.683,5.805,1,96,BC,NCTL,ND,0,0,0,0,0,0,-5,-1,-14,-3,0,2,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0345949074074074,1,12,84,0,0,5,6,40,15,1,2,1,41,43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.357,4.259,1,81,BW,NCTL,D,0,0,-1,0,0,0,-5,-1,-15,-3,0,2,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.040150462962963,1,13,96,0,0,6,6,5,6,2,1,2,46,50,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.616,7.103,1,112,BC,NCTL,D,0,0,0,0,0,0,-5,-2,-16,-3,0,2,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.043125,2,1,102,0,1,0,0,40,30,1,1,1,50,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.617,11.977,1,106,BW,NCTL,D,0,0,0,0,0,0,0,1,1,1,0,0,1.0
2023-wimbledon-2602,Ons Jabeur,Aryna Sabalenka,0.0450462962962963,2,2,107,0,1,1,0,15,40,2,1,2,51,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.205,3.064,1,108,W,CTL,D,0,0,0,0,0,0,0,1,1,1,0,0,1.0
